producto;cod_barra;descripcion;precio;fecha_mod
653007;4,71698E+12;CARPETA DUNSON 711 OFICIO KISMET C/BROCHE;$ 117,43;13/4/2021
653148;4,71698E+12;CARPETA DUNSON 711 OFICIO KISMET C/BROCHE NEGRO;$ 117,43;13/4/2021
653180;4,71698E+12;CARPETA DUNSON 712 OFICIO C/SUJ. VELOX  ROJO;$ 105,28;13/4/2021
653151;4,71698E+12;CARPETA DUNSON 712 OFICIO C/SUJ. VELOX AZUL;$ 105,28;13/4/2021
653152;4,71698E+12;CARPETA DUNSON 712 OFICIO C/SUJ. VELOX NEGRO;$ 105,28;13/4/2021
653068;4,71698E+12;CARPETA DUNSON F18 CARTA VAINA IN DESPL B C *12U. AZUL;$ 751,83;13/4/2021
653038;4,71698E+12;CARPETA DUNSON F18 CARTA VAINA IN DESPL B C *12U. NEGRO;$ 751,83;13/4/2021
653071;4,71698E+12;CARPETA DUNSON F19 OFIC. VAINA IN DESPL B C *12U. AZUL;$ 1.333,40;13/4/2021
653039;4,71698E+12;CARPETA DUNSON F19 OFIC. VAINA IN DESPL B C *12U. NEG;$ 1.333,40;13/4/2021
653070;4,71698E+12;CARPETA DUNSON F19 OFIC. VAINA IN DESPL B C *12U. ROJO;$ 1.333,40;13/4/2021
653058;4,71698E+12;CARPETA DUNSON F20 CAR. VAINA OUT DESPL B C *12 AZUL;$ 739,09;13/4/2021
653159;4,71698E+12;CARPETA DUNSON F20 CAR. VAINA OUT DESPL B C *12 NEGRO;$ 739,09;13/4/2021
653109;4,71698E+12;CARPETA DUNSON F21 OFIC. VAINA OUT DESPL B C *12 AZUL;$ 790,06;13/4/2021
653041;4,71698E+12;CARPETA DUNSON F21 OFIC. VAINA OUT DESPL B C *12 NEG;$ 790,06;13/4/2021
653218;4,71698E+12;CARPETA DUNSON F21 OFIC. VAINA OUT DESPL B C *12 ROJO;$ 790,06;13/4/2021
653221;4,71698E+12;CARPETA DUNSON FT10 OFICIO 10 FOLIOS AZUL;$ 116,42;4/5/2021
653154;4,71698E+12;CARPETA DUNSON FT60 OFICIO 60 FOLIOS AZUL;$ 302,64;13/4/2021
653219;4,71698E+12;CARPETA DUNSON FT60 OFICIO 60 FOLIOS GRIS;$ 302,64;13/4/2021
653156;4,71698E+12;CARPETA DUNSON FT60 OFICIO 60 FOLIOS NEGRO;$ 302,64;13/4/2021
653220;4,71698E+12;CARPETA DUNSON FT60 OFICIO 60 FOLIOS ROJO;$ 302,64;13/4/2021
6912062;7,79811E+12;CARPETA ESTUDIANTES 30017-8 340 LIBESA;$ 115,00;12/4/2021
656010;7,79785E+12;CARPETA FIBRA NEGRA XXI  A4  240;$ 86,04;2/2/2021
656006;7,79785E+12;CARPETA FIBRA NEGRA XXI ESCOLAR 340;$ 86,04;2/2/2021
656007;9,19991E+12;CARPETA FIBRA NEGRA XXI OFICIO 240;$ 86,04;2/2/2021
656003;9,19991E+12;CARPETA FIBRACAP F/NEGRA 3-SOL 35*50 ELAST * 6 u.;$ 1.446,16;2/2/2021
656004;9,19991E+12;CARPETA FIBRACAP F/NEGRA 3-SOL 50*70 ELAST * 5 u.;$ 1.865,22;2/2/2021
670493;7,79834E+12;CARPETA FN 3 SOLP. PPR;$ 93,50;20/4/2020
